epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
136,4113.34,1.13739,0.46301,0.00284,0.95027,0.90732,0.96541,0.68143,1.00642,0.34346,0.00404,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
137,4143.23,1.1421,0.46554,0.00277,0.94234,0.91721,0.96525,0.67956,1.0097,0.34587,0.00406,0.003072,0.001024,0.003072,0.001024,0.003072,0.001024,0.003072,0.001024
138,4172.91,1.14447,0.45659,0.00279,0.94686,0.91671,0.96626,0.68134,1.005,0.34657,0.00403,0.002874,0.000958,0.002874,0.000958,0.002874,0.000958,0.002874,0.000958
139,4204.59,1.13615,0.4601,0.00282,0.94647,0.91703,0.96438,0.67934,1.00821,0.34673,0.00404,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
140,4235.59,1.14432,0.4616,0.00281,0.95134,0.9011,0.9645,0.67896,1.00778,0.34823,0.00405,0.002478,0.000826,0.002478,0.000826,0.002478,0.000826,0.002478,0.000826
141,4293.49,1.03111,0.39976,0.00303,0.95358,0.89749,0.96542,0.67444,1.02149,0.35271,0.00413,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
142,4321.03,1.02253,0.39975,0.00304,0.9471,0.90314,0.96636,0.67483,1.01843,0.34945,0.00409,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
143,4348.42,1.03936,0.40559,0.00297,0.9412,0.90956,0.96547,0.6762,1.01667,0.34926,0.00409,0.001884,0.000628,0.001884,0.000628,0.001884,0.000628,0.001884,0.000628
144,4377.03,1.00726,0.39354,0.00301,0.94767,0.90124,0.96473,0.67749,1.01452,0.35012,0.00407,0.001686,0.000562,0.001686,0.000562,0.001686,0.000562,0.001686,0.000562
145,4404.54,1.02324,0.39742,0.00292,0.94875,0.91156,0.96627,0.6778,1.01257,0.3475,0.00406,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
146,4432.01,1.01417,0.39405,0.00294,0.94567,0.9167,0.96668,0.67877,1.01451,0.34727,0.00407,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
147,4459.65,1.01363,0.40161,0.00292,0.9444,0.90621,0.96586,0.68063,1.01009,0.34593,0.00405,0.001092,0.000364,0.001092,0.000364,0.001092,0.000364,0.001092,0.000364
148,4487.03,0.99462,0.38841,0.00296,0.9455,0.91437,0.96681,0.68158,1.00938,0.3444,0.00405,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
149,4515.08,1.02306,0.39637,0.00294,0.95365,0.90766,0.96747,0.68262,1.00982,0.34411,0.00405,0.000696,0.000232,0.000696,0.000232,0.000696,0.000232,0.000696,0.000232
150,4541.94,1.0214,0.39963,0.00292,0.94991,0.91483,0.96837,0.68286,1.00792,0.34423,0.00404,0.000498,0.000166,0.000498,0.000166,0.000498,0.000166,0.000498,0.000166
