epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,989.592,1.43268,0.63497,0.00355,0.90109,0.85335,0.93413,0.6035,1.1487,0.45275,0.00466,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,1019.25,1.40627,0.63353,0.00358,0.89784,0.85807,0.93165,0.58905,1.22118,0.4644,0.00508,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,1049.44,1.40181,0.62476,0.00359,0.90072,0.85088,0.92924,0.59417,1.1919,0.45061,0.00489,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,1080.23,1.39362,0.61522,0.00352,0.9279,0.84165,0.93088,0.60905,1.15747,0.4407,0.00468,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,1111.39,1.40236,0.61495,0.00355,0.92062,0.85573,0.93788,0.6162,1.13422,0.42738,0.00462,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,1141,1.3803,0.60799,0.00345,0.9061,0.8582,0.93179,0.59316,1.20453,0.45588,0.00474,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,1171.84,1.40015,0.6152,0.00352,0.90422,0.86024,0.93525,0.60168,1.16633,0.44225,0.00472,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,1202.68,1.38026,0.60224,0.00353,0.91828,0.86322,0.93833,0.61845,1.13303,0.42611,0.00466,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,1232.47,1.37341,0.60483,0.00361,0.915,0.86244,0.93771,0.60021,1.18757,0.43717,0.00482,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,1262.36,1.37151,0.59588,0.00344,0.90629,0.8699,0.93781,0.61414,1.15746,0.43346,0.00471,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,1292.29,1.34585,0.58943,0.00346,0.92542,0.86211,0.93988,0.59644,1.19742,0.44068,0.00489,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,1322.04,1.38457,0.59497,0.00345,0.91395,0.87163,0.94051,0.61214,1.1618,0.42453,0.00481,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,1352.26,1.36662,0.58309,0.00349,0.9176,0.874,0.94302,0.60944,1.16978,0.42728,0.00475,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,1381.78,1.35008,0.58726,0.00346,0.92098,0.87154,0.94376,0.62485,1.11729,0.41808,0.00455,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,1411.23,1.34763,0.58286,0.00336,0.91964,0.86703,0.94259,0.61559,1.14953,0.42049,0.00459,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,1440.44,1.36429,0.5754,0.0034,0.92605,0.86613,0.94571,0.63289,1.09963,0.41453,0.00442,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,1470.4,1.35643,0.57802,0.00333,0.92567,0.86887,0.94419,0.62919,1.09771,0.41771,0.00446,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,1500.53,1.36203,0.5948,0.00339,0.9242,0.87945,0.94553,0.6375,1.08582,0.40583,0.00439,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,1531.56,1.35245,0.58211,0.00336,0.9157,0.88381,0.94941,0.63562,1.09198,0.39964,0.00442,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,1562.77,1.32888,0.57347,0.00335,0.92584,0.87215,0.94575,0.63465,1.08122,0.39737,0.00434,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
